2025-11-28 11:38:28,928 INFO Writing to output/ip_locations_0001.csv
2025-11-28 11:40:30,310 INFO Processed 136000 (skipped 0, errors 0)
2025-11-28 11:40:30,341 INFO Processed 137000 (skipped 0, errors 0)
2025-11-28 11:40:30,381 INFO Processed 138000 (skipped 0, errors 0)
2025-11-28 11:40:30,415 INFO Processed 139000 (skipped 0, errors 0)
2025-11-28 11:40:30,449 INFO Processed 140000 (skipped 0, errors 0)
2025-11-28 11:40:30,486 INFO Processed 141000 (skipped 0, errors 0)
2025-11-28 11:40:30,520 INFO Processed 142000 (skipped 0, errors 0)
2025-11-28 11:40:30,553 INFO Processed 143000 (skipped 0, errors 0)
2025-11-28 11:40:30,586 INFO Processed 144000 (skipped 0, errors 0)
2025-11-28 11:40:30,618 INFO Processed 145000 (skipped 0, errors 0)
2025-11-28 11:40:30,654 INFO Processed 146000 (skipped 0, errors 0)
2025-11-28 11:40:30,688 INFO Processed 147000 (skipped 0, errors 0)
2025-11-28 11:40:30,721 INFO Processed 148000 (skipped 0, errors 0)
2025-11-28 11:40:30,756 INFO Processed 149000 (skipped 0, errors 0)
2025-11-28 11:40:30,789 INFO Processed 150000 (skipped 0, errors 0)
2025-11-28 11:40:30,861 INFO Processed 151000 (skipped 0, errors 0)
2025-11-28 11:40:30,896 INFO Processed 152000 (skipped 0, errors 0)
2025-11-28 11:40:30,929 INFO Processed 153000 (skipped 0, errors 0)
2025-11-28 11:40:30,962 INFO Processed 154000 (skipped 0, errors 0)
2025-11-28 11:40:31,003 INFO Processed 155000 (skipped 0, errors 0)
2025-11-28 11:40:31,035 INFO Processed 156000 (skipped 0, errors 0)
2025-11-28 11:40:31,069 INFO Processed 157000 (skipped 0, errors 0)
2025-11-28 11:40:31,105 INFO Processed 158000 (skipped 0, errors 0)
2025-11-28 11:40:31,137 INFO Processed 159000 (skipped 0, errors 0)
2025-11-28 11:40:31,168 INFO Processed 160000 (skipped 0, errors 0)
2025-11-28 11:40:31,200 INFO Processed 161000 (skipped 0, errors 0)
2025-11-28 11:40:31,231 INFO Processed 162000 (skipped 0, errors 0)
2025-11-28 11:40:31,263 INFO Processed 163000 (skipped 0, errors 0)
2025-11-28 11:40:31,296 INFO Processed 164000 (skipped 0, errors 0)
2025-11-28 11:40:31,329 INFO Processed 165000 (skipped 0, errors 0)
2025-11-28 11:40:31,364 INFO Processed 166000 (skipped 0, errors 0)
2025-11-28 11:40:31,399 INFO Processed 167000 (skipped 0, errors 0)
2025-11-28 11:40:31,431 INFO Processed 168000 (skipped 0, errors 0)
2025-11-28 11:40:31,465 INFO Processed 169000 (skipped 0, errors 0)
2025-11-28 11:40:31,500 INFO Processed 170000 (skipped 0, errors 0)
2025-11-28 11:40:31,534 INFO Processed 171000 (skipped 0, errors 0)
2025-11-28 11:40:31,568 INFO Processed 172000 (skipped 0, errors 0)
